algorithm,problem,dimensions,best_fitness,avg_fitness,diversity,execution_time
HC,sphere,2,6.857103101494638e-23,6.857103101494638e-23,1.366984909508716e-10,0.3042917251586914
GA,sphere,2,5.297286542738017e-19,0.10484188011445131,0.16165819275912374,0.33115243911743164
HC,sphere,100,2.802221520080523e-20,2.802221520080523e-20,6.521893954968572e-12,0.502873420715332
HC,sphere,30,3.2590947565897455e-09,3.2590947565897455e-09,8.45596153904803e-06,0.5324015617370605
PSO,sphere,2,1.039375121191811e-83,3.4742332154925777e-59,3.715654246316603e-30,0.2973594665527344
PSO,sphere,30,4.980901474281434e-07,2.101068516320914e-06,0.0002059559885260409,0.28284192085266113
GA,sphere,30,0.17873031803727427,4.874827353216571,0.36661591691925693,0.6535065174102783
PSO,sphere,100,0.37473792339673107,0.8866139241747603,0.059436305153515084,0.3660929203033447
GA,sphere,100,10.793994519229052,28.09447786145626,0.40541556789153943,0.8395359516143799
HC,rastrigin,2,0.9953563815223276,19.899074983015616,7.440282685407397e-22,0.8633882999420166
HC,rastrigin,30,201.54469509002658,234.80892067292984,1.7805396372440376e-13,1.1950056552886963
GA,rastrigin,2,4.902744876744691e-13,3.269528310518469,0.4524674485278721,1.4406614303588867
DE,sphere,30,9.18140496914516e-08,1.303131146713991e-07,5.390665496825065e-05,2.2401795387268066
DE,sphere,2,5.662391651439869e-198,5.828320147221048e-196,1.654430723679644e-98,2.8295018672943115
DE,sphere,100,0.501398816303605,0.5725789446039272,0.04164093572747674,3.29915452003479
GA,rastrigin,30,81.4186531678458,309.88017013627933,0.905761694489615,3.84169602394104
SA,sphere,2,3.8328273800730145e-05,0.2251898561967915,0.33384451522651254,5.967824220657349
DE,rastrigin,2,0.0,0.0,1.615610510859324e-09,4.815076589584351
DE,rastrigin,30,256.39326389502844,310.96538379661075,1.7543665488425846,4.940155029296875
SA,sphere,30,57.496575083349896,101.15729047156493,1.8104921007566277,7.1477930545806885
SA,rastrigin,2,0.00013703196461989364,4.199569835119677,1.4236416479851992,6.879010438919067
TLBO,sphere,2,0.0,0.0,9.978250624276114e-163,7.767300605773926
HC,rosenbrock,2,0.07961819819528018,0.07961819819528018,8.671094895767036e-10,1.207029104232788
HC,rosenbrock,30,1881.6586961621113,1924.701043129279,2.2971551938437725e-10,1.6696672439575195
TLBO,sphere,30,3.023494257607712e-181,4.895989323632475e-181,8.591782024565727e-91,9.407526969909668
SA,sphere,100,424.34876251638474,630.4351402628736,2.4790908605967554,10.185596466064453
SA,rastrigin,30,239.07078538320536,363.52276585760023,2.9734002513406805,9.50310492515564
HC,rosenbrock,100,15936.54275044796,15936.54275044796,7.858318308525726e-11,2.7271909713745117
